John	boy	73.84701702	241.8935632
William	boy	68.78190405	162.3104725
James	boy	74.11010539	212.7408556
Charles	boy	71.7309784	220.0424703
George	boy	69.88179586	206.3498006
Frank	boy	67.25301569	152.2121558
Joseph	boy	68.78508125	183.9278886
Thomas	boy	68.34851551	167.9711105
Henry	boy	67.01894966	175.9294404
Robert	boy	63.45649398	156.3996764
Edward	boy	71.19538228	186.6049256
Harry	boy	71.64080512	213.7411695
Walter	boy	64.76632913	167.1274611
Arthur	boy	69.2830701	189.4461814
Fred	boy	69.24373223	186.434168
Albert	boy	67.6456197	172.1869301
Samuel	boy	72.41831663	196.0285063
David	boy	63.97432572	172.8834702
Louis	boy	69.6400599	185.9839576
Joe	boy	67.93600485	182.426648
Charlie	boy	67.91505019	174.1159291
Clarence	boy	69.43943987	197.7314216
Richard	boy	66.14913196	149.173566
Andrew	boy	75.20597361	228.7617806
Daniel	boy	67.89319634	162.0066518
Ernest	boy	68.1440328	192.3439766
Will	boy	69.08963143	184.4351744
Jesse	boy	72.80084352	206.8281894
Oscar	boy	67.42124228	175.2139224
Lewis	boy	68.49641536	154.3426389
Peter	boy	68.61811055	187.5068432
Benjamin	boy	74.03380762	212.9102253
Frederick	boy	71.52821604	195.0322432
Willie	boy	69.1801611	205.1836213
Alfred	boy	69.57720237	204.1641255
Sam	boy	70.40092889	192.9035151
Roy	boy	69.07617117	197.4882426
Herbert	boy	67.19352328	183.8109732
Jacob	boy	65.80731565	163.8518249
Tom	boy	64.30418789	163.1080171
Elmer	boy	67.97433623	172.1355974
Carl	boy	72.18942596	194.0454049
Lee	boy	65.27034552	168.6177462
Howard	boy	66.09017738	161.1934326
Martin	boy	67.51032152	164.6602773
Michael	boy	70.10478626	188.9223032
Bert	boy	68.25183644	187.0605522
Herman	boy	72.17270912	209.0708634
Jim	boy	69.17985762	192.0143354
Francis	boy	72.87036015	211.3424968
Harvey	boy	64.78258298	165.6116262
Earl	boy	70.18354989	201.0719181
Eugene	boy	68.49145025	173.4239603
Ralph	boy	67.33083088	181.4076793
Ed	boy	66.99094408	169.7377074
Claude	boy	66.4995499	163.3095283
Edwin	boy	68.35305665	189.7102099
Ben	boy	70.77445907	192.1248473
Charley	boy	71.21592367	198.1984641
Paul	boy	70.01336535	209.5264998
Edgar	boy	71.40318222	198.7597927
Isaac	boy	69.55200509	198.0795237
Otto	boy	73.81853456	195.2906122
Luther	boy	66.99688275	164.943303
Lawrence	boy	71.41846589	179.8639023
Ira	boy	65.27930021	155.2504207
Patrick	boy	68.27419147	184.5193912
Guy	boy	72.76536995	220.6780415
Oliver	boy	68.0993798	183.3126553
Theodore	boy	68.89670607	196.4513123
Hugh	boy	69.28950996	184.5956083
Clyde	boy	70.52322452	207.5328385
Alexander	boy	69.66372523	177.2009288
August	boy	67.59526881	163.1080022
Floyd	boy	72.50812038	216.2182301
Homer	boy	71.2529856	204.6554938
Jack	boy	71.80918689	200.9205712
Leonard	boy	72.24516548	220.9017699
Horace	boy	66.51262766	196.4498603
Marion	boy	66.029034	168.64081
Philip	boy	67.57715394	181.432713
Allen	boy	68.2465686	198.6586733
Archie	boy	73.826127	237.9167359
Stephen	boy	69.80246436	173.0412559
Chester	boy	65.95957778	160.6839166
Willis	boy	71.07901758	188.6029191
Raymond	boy	66.59619654	208.345694
Rufus	boy	68.95153509	193.4351185
Warren	boy	68.24446179	174.1096938
Jessie	boy	72.31682512	197.3685892
Milton	boy	71.81542045	201.6206667
Alex	boy	65.23704952	181.0119732
Leo	boy	70.64053009	182.122486
Julius	boy	64.7319256	177.5492634
Ray	boy	67.10355118	164.9745807
Sidney	boy	65.11748489	165.7171122
Bernard	boy	71.70123402	193.0941635
Dan	boy	66.83287821	180.683887
Jerry	boy	66.47127526	172.7737229
Calvin	boy	69.41152622	177.4706162
Perry	boy	70.05217747	200.8187373
Dave	boy	66.74360465	167.7397753
Anthony	boy	66.27432912	154.3956248
Eddie	boy	68.32844799	177.9847286
Amos	boy	70.0758882	183.938857
Dennis	boy	68.73298815	179.2047821
Clifford	boy	67.55605126	158.5679874
Leroy	boy	66.25363253	166.5035316
Wesley	boy	69.18220268	171.9836776
Alonzo	boy	67.60910494	174.3641824
Garfield	boy	69.29273802	187.7453519
Franklin	boy	68.19068401	201.4879624
Emil	boy	71.6070858	204.9270121
Leon	boy	69.19685751	178.6855465
Nathan	boy	67.26196098	164.0144277
Harold	boy	73.6851934	223.2700044
Matthew	boy	69.53721501	202.9583063
Levi	boy	68.31155984	189.3917856
Moses	boy	67.73896347	178.1705556
Everett	boy	71.7057626	223.2993352
Lester	boy	63.6322646	167.0287067
Winfield	boy	68.72119846	180.468682
Adam	boy	66.94934165	164.4391456
Lloyd	boy	62.70698974	149.9696184
Mack	boy	72.25840892	192.9102666
Fredrick	boy	70.90865306	201.8839987
Jay	boy	67.6098436	179.868026
Jess	boy	70.80155896	196.4677247
Melvin	boy	69.30476905	187.5516495
Noah	boy	66.24289834	171.6931597
Aaron	boy	67.49219298	191.6996048
Alvin	boy	65.80624829	165.8506478
Norman	boy	71.44370566	185.6627413
Gilbert	boy	68.46440582	178.2818007
Elijah	boy	63.9879246	150.9790513
Victor	boy	71.00189769	209.9293234
Gus	boy	68.13972419	174.1578043
Nelson	boy	68.39540025	179.8789771
Jasper	boy	68.09621975	167.7471412
Silas	boy	68.14059036	183.0446604
Christopher	boy	68.86009031	169.5568208
Jake	boy	66.14885254	173.4316727
Mike	boy	66.20603205	180.8895546
Percy	boy	67.43212021	183.5089329
Adolph	boy	69.47110603	205.9779102
Maurice	boy	70.51585969	183.7598452
Cornelius	boy	71.33837604	201.9544955
Felix	boy	71.00194477	216.1200947
Reuben	boy	66.20234771	159.3903237
Wallace	boy	72.54330705	210.3364247
Claud	boy	67.47935176	178.6183502
Roscoe	boy	65.35041056	146.7397976
Sylvester	boy	70.84406242	195.937015
Earnest	boy	69.93847526	170.1758538
Hiram	boy	64.73981548	169.6540541
Otis	boy	69.30840288	198.3786936
Simon	boy	68.83846286	179.9077169
Willard	boy	61.93732327	147.2636865
Irvin	boy	68.59333554	176.9842511
Mark	boy	65.21857558	185.4677884
Jose	boy	64.33364811	177.4938023
Wilbur	boy	68.7489067	169.8274774
Abraham	boy	72.4896554	198.5816982
Virgil	boy	67.23393092	203.3503393
Clinton	boy	67.26360484	193.2176727
Elbert	boy	65.11850428	178.1349452
Leslie	boy	66.26282004	162.7795834
Marshall	boy	67.70167966	159.2865106
Owen	boy	65.53069597	172.114312
Wiley	boy	69.86896981	201.8370426
Anton	boy	68.48187536	170.3523296
Morris	boy	72.21396335	205.3897607
Manuel	boy	68.17953269	169.7877681
Phillip	boy	71.98120654	200.4373105
Augustus	boy	66.06513673	178.588954
